0,4.977,16.925,19.354,17.348,0,3.0428,10.368,13.887,15.663,0,2.1127,10.14,14.534,16.271,0,3.3884,12.434,12.77,19.322,0,2.7907,8.8913,9.7609,13.662,0,2.9067,9.2722,12.135,18.863,0,3.2609,8.9064,9.6538,13.978,0,4.5968,11.405,13.882,18.721,0,6.7323,8.7201,9.1773,11.324,0,4.4067,10.286,11.347,17.569
0.033212,5.0266,16.066,18.443,15.798,0.032956,2.474,8.8491,9.1308,12.496,0.032804,1.7831,7.8544,6.9914,11.298,0.032911,2.7804,10.342,10.755,15.15,0.03529,2.2692,6.9695,8.0161,8.0714,0.033037,2.3092,7.0332,5.8942,8.434,0.0314,3.0836,6.381,5.2369,6.2593,0.035285,3.6595,9.3718,10.51,12.796,0.032469,6.3472,5.3872,2.3573,4.2034,0.035666,3.8827,7.5558,9.0434,10.78
0.068577,5.1011,15.124,17.291,15.005,0.064886,2.0964,7.31,7.5211,8.1427,0.067186,1.1787,6.3628,5.0245,5.9556,0.068383,2.4489,8.6627,6.7944,10.26,0.068206,1.7676,2.513,1.4408,2.7595,0.068014,2.2692,0.41421,0.37697,1.0106,0.065494,2.8993,2.4695,1.848,0.67653,0.068717,3.2499,7.0254,8.0611,8.6846,0.067017,6.0446,2.4522,2.2187,2.1591,0.068659,3.4664,5.9382,5.6254,6.6519
0.10021,4.8907,14.52,16.873,13.611,0.10016,2.1794,6.076,4.9422,5.0644,0.09959,0.89372,1.2531,0.38055,0.73829,0.10139,2.4215,7.2317,4.1039,5.4569,0.099776,2.0132,1.2291,2.3335,1.3754,0.099721,1.7657,0.48653,3.9415,3.847,0.099808,2.9334,0.22464,5.3912,5.405,0.10109,3.3007,5.7145,4.5709,5.1697,0.09935,2.9126,0.82434,6.6549,6.529,0.10107,3.1588,4.4722,3.3853,3.8054
0.13201,4.8699,14.032,15.899,12.868,0.13316,1.8649,2.6877,1.3596,1.5969,0.1335,0.79682,0.12349,3.2078,3.4049,0.13471,2.2911,5.5357,1.3557,1.3678,0.13515,1.7898,0.23411,3.13,3.4825,0.13161,1.0944,2.2909,7.4122,5.8931,0.13217,2.0868,2.6302,9.2602,9.4452,0.13568,3.0122,4.7328,2.9738,2.8581,0.13324,2.2852,0.7147,8.0176,8.9985,0.13499,2.8537,3.5559,1.6004,2.0206
0.16867,5.1506,13.546,15.274,12.301,0.16563,1.4586,1.9594,1.8772,0.59189,0.16643,0.10895,1.5545,6.8316,7.2917,0.1676,2.0815,0.71952,2.7774,2.973,0.16755,1.214,0.74278,4.5524,5.3309,0.16826,0.49076,3.5879,8.9365,8.3073,0.16508,1.4273,3.8462,10.22,10.722,0.1686,2.8021,3.2128,1.2654,0.91871,0.16693,2.8596,2.6067,9.5889,10.613,0.16793,2.5127,3.0788,0.82906,1.2683
0.1993,5.0454,13.045,12.991,12.425,0.20008,1.3593,1.2338,2.3936,0.75076,0.20038,0.053439,3.4649,9.2213,10.548,0.20034,1.7086,0.33913,5.105,5.3543,0.2005,1.1154,1.4608,6.6858,5.7203,0.20097,0.3553,3.9998,9.2635,8.7896,0.20014,1.3707,4.7213,10.929,11.552,0.20075,2.913,2.4243,1.6257,1.1672,0.19768,2.5315,2.9744,10.339,10.901,0.20079,2.4502,2.5503,0.96787,0.9113
0.23209,5.068,12.626,12.171,10.875,0.23302,1.1707,0.6414,2.7192,1.5063,0.23416,0.40075,4.8876,11.735,12.946,0.23443,1.4654,1.094,6.5807,7.0756,0.23438,0.92743,2.5463,10.7,7.465,0.23335,0.2322,4.1737,9.3704,8.7043,0.23187,1.5181,4.6908,11.158,11.068,0.23585,2.8746,1.9426,2.2274,1.877,0.23204,3.2793,3.281,10.694,10.336,0.23551,2.3358,2.0969,1.3535,0.73766
0.26791,5.4066,12.042,12.141,9.9261,0.26431,0.80443,0.31097,3.1725,2.1909,0.26616,0.86275,6.4099,13.502,14.714,0.26593,0.99769,1.5555,7.7788,8.7258,0.26634,0.46705,3.0047,10.089,8.1161,0.26781,0.11138,4.3765,9.2045,7.9276,0.26578,1.0731,4.5121,11.218,9.8969,0.26876,2.5077,1.7054,2.702,1.9917,0.26702,2.4423,3.3678,10.722,9.2602,0.26844,1.9659,1.9541,1.6381,0.6476
0.29931,5.3689,11.759,11.801,9.3817,0.30006,1.0072,0.14781,3.3935,2.2935,0.29912,0.90187,7.1383,14.228,15.334,0.30125,0.94399,2.0666,8.6142,9.4065,0.3002,0.46271,3.4011,10.128,8.2279,0.30026,0.33255,4.5765,9.2447,7.1526,0.30022,1.084,4.1865,10.902,8.4445,0.30149,2.6257,1.4135,2.8492,1.8064,0.30006,2.3159,3.3497,10.523,8.2383,0.30164,2.001,1.7243,1.8705,0.60504
